LOCATION,SUBJECT,TIME,mates,ciencia,Lectura
AUS,BOY,2006,527,527,495
AUS,BOY,2009,519,527,496
AUS,BOY,2012,510.115,523.728,495.09
AUS,BOY,2015,497,511,487
AUS,BOY,2018,494,504,487
AUS,GIRL,2006,513,527,532
AUS,GIRL,2009,509,528,533
AUS,GIRL,2012,497.821,519.124,529.542
AUS,GIRL,2015,491,509,519
AUS,GIRL,2018,488,502,519
AUT,BOY,2006,517,515,468
AUT,BOY,2012,516.682,510.108,471.093
AUT,BOY,2015,510,504,475
AUT,BOY,2018,505,491,471
AUT,GIRL,2006,494,507,513
AUT,GIRL,2012,494.462,501.479,508.021
AUT,GIRL,2015,483,486,495
AUT,GIRL,2018,492,489,499
BEL,BOY,2006,524,511,482
BEL,BOY,2009,526,510,493
BEL,BOY,2012,520.081,506.82,492.755
BEL,BOY,2015,514,508,491
BEL,BOY,2018,514,501,482
BEL,GIRL,2006,517,510,522
BEL,GIRL,2009,504,503,520
BEL,GIRL,2012,508.935,502.9,524.602
BEL,GIRL,2015,500,496,507
BEL,GIRL,2018,502,496,504
CAN,BOY,2006,534,536,511
CAN,BOY,2009,533,531,507
CAN,BOY,2012,523.154,526.875,505.512
CAN,BOY,2015,520,528,514
CAN,BOY,2018,514,516,506
CAN,GIRL,2006,520,532,543
CAN,GIRL,2009,521,526,542
CAN,GIRL,2012,513.022,524.053,540.657
CAN,GIRL,2015,511,527,540
CAN,GIRL,2018,510,520,535
CZE,BOY,2006,514,515,463
CZE,BOY,2009,495,498,456
CZE,BOY,2012,504.71,508.721,473.983
CZE,BOY,2015,496,497,475
CZE,BOY,2018,501,496,474
CZE,GIRL,2006,504,510,509
CZE,GIRL,2009,490,503,504
CZE,GIRL,2012,492.903,507.855,512.79
CZE,GIRL,2015,489,488,501
CZE,GIRL,2018,498,498,507
DNK,BOY,2006,518,500,480
DNK,BOY,2009,511,505,480
DNK,BOY,2012,506.953,503.533,480.89
DNK,BOY,2015,516,505,489
DNK,BOY,2018,511,492,486
DNK,GIRL,2006,508,491,509
DNK,GIRL,2009,495,494,509
DNK,GIRL,2012,493.029,493.363,511.529
DNK,GIRL,2015,506,499,511
DNK,GIRL,2018,507,494,516
FIN,BOY,2006,554,562,521
FIN,BOY,2009,542,546,508
FIN,BOY,2012,517.391,537.436,494.006
FIN,BOY,2015,507,521,504
FIN,BOY,2018,504,510,495
FIN,GIRL,2006,543,565,572
FIN,GIRL,2009,539,562,563
FIN,GIRL,2012,520.185,553.893,555.708
FIN,GIRL,2015,515,541,551
FIN,GIRL,2018,510,534,546
FRA,BOY,2006,499,497,470
FRA,BOY,2009,505,500,475
FRA,BOY,2012,499.355,497.716,482.972
FRA,BOY,2015,496,496,485
FRA,BOY,2018,499,493,480
FRA,GIRL,2006,492,494,505
FRA,GIRL,2009,489,497,515
FRA,GIRL,2012,490.853,500.157,526.765
FRA,GIRL,2015,490,494,514
FRA,GIRL,2018,492,493,505
DEU,BOY,2006,513,519,475
DEU,BOY,2009,520,523,478
DEU,BOY,2012,520.19,523.86,486
DEU,BOY,2015,514,514,499
DEU,BOY,2018,503,502,486
DEU,GIRL,2006,494,512,517
DEU,GIRL,2009,505,518,518
DEU,GIRL,2012,506.625,524.391,530.119
DEU,GIRL,2015,498,504,520
DEU,GIRL,2018,496,504,512
GRC,BOY,2006,462,468,432
GRC,BOY,2009,473,465,459
GRC,BOY,2012,457.039,460.02,451.718
GRC,BOY,2015,454,451,449
GRC,BOY,2018,452,446,437
GRC,GIRL,2006,457,479,488
GRC,GIRL,2009,459,475,506
GRC,GIRL,2012,448.984,473.298,502.198
GRC,GIRL,2015,454,459,486
GRC,GIRL,2018,451,457,479
HUN,BOY,2006,496,507,463
HUN,BOY,2009,496,503,475
HUN,BOY,2012,481.749,495.913,467.964
HUN,BOY,2015,481,478,457
HUN,BOY,2018,486,484,463
HUN,GIRL,2006,486,501,503
HUN,GIRL,2009,484,503,513
HUN,GIRL,2012,472.664,492.803,507.549
HUN,GIRL,2015,473,475,482
HUN,GIRL,2018,477,478,489
ISL,BOY,2006,503,488,460
ISL,BOY,2009,508,496,478
ISL,BOY,2012,489.72,476.676,457.275
ISL,BOY,2015,487,472,460
ISL,BOY,2018,490,471,454
ISL,GIRL,2006,508,494,509
ISL,GIRL,2009,505,495,522
ISL,GIRL,2012,495.947,479.669,508.39
ISL,GIRL,2015,489,475,502
ISL,GIRL,2018,500,479,494
IRL,BOY,2006,507,508,500
IRL,BOY,2009,491,507,476
IRL,BOY,2012,509.035,523.942,509.153
IRL,BOY,2015,512,508,515
IRL,BOY,2018,503,495,506
IRL,GIRL,2006,496,509,534
IRL,GIRL,2009,483,509,515
IRL,GIRL,2012,493.705,520,537.669
IRL,GIRL,2015,495,497,527
IRL,GIRL,2018,497,497,530
ITA,BOY,2006,470,477,448
ITA,BOY,2009,490,488,464
ITA,BOY,2012,494.199,494.897,470.938
ITA,BOY,2015,500,489,477
ITA,BOY,2018,494,470,464
ITA,GIRL,2006,453,474,489
ITA,GIRL,2009,475,490,510
ITA,GIRL,2012,475.794,492.087,509.945
ITA,GIRL,2015,480,472,493
ITA,GIRL,2018,479,466,489
JPN,BOY,2006,533,533,483
JPN,BOY,2009,534,534,501
JPN,BOY,2012,544.884,551.947,526.618
JPN,BOY,2015,539,545,509
JPN,BOY,2018,532,531,493
JPN,GIRL,2006,513,530,513
JPN,GIRL,2009,524,545,540
JPN,GIRL,2012,527.011,540.959,550.724
JPN,GIRL,2015,525,532,523
JPN,GIRL,2018,522,528,514
KOR,BOY,2006,552,521,539
KOR,BOY,2009,548,537,523
KOR,BOY,2012,562.114,539.408,524.965
KOR,BOY,2015,521,511,498
KOR,BOY,2018,528,521,503
KOR,GIRL,2006,543,523,574
KOR,GIRL,2009,544,539,558
KOR,GIRL,2012,544.193,535.93,548.207
KOR,GIRL,2015,528,521,539
KOR,GIRL,2018,524,517,526
LUX,BOY,2006,498,491,464
LUX,BOY,2009,499,487,453
LUX,BOY,2012,502.193,498.715,473.046
LUX,BOY,2015,491,487,471
LUX,BOY,2018,487,475,456
LUX,GIRL,2006,482,482,495
LUX,GIRL,2009,479,480,492
LUX,GIRL,2012,477.117,483.484,503.024
LUX,GIRL,2015,480,479,492
LUX,GIRL,2018,480,479,485
MEX,BOY,2006,410,413,393
MEX,BOY,2009,425,419,413
MEX,BOY,2012,420.411,418.128,411.365
MEX,BOY,2015,412,420,416
MEX,BOY,2018,415,424,415
MEX,GIRL,2006,401,406,427
MEX,GIRL,2009,412,413,438
MEX,GIRL,2012,406.427,411.836,435.272
MEX,GIRL,2015,404,412,431
MEX,GIRL,2018,403,415,426
NLD,BOY,2006,537,528,495
NLD,BOY,2009,534,524,496
NLD,BOY,2012,527.967,523.622,498.317
NLD,BOY,2015,513,511,491
NLD,BOY,2018,520,499,470
NLD,GIRL,2006,524,521,519
NLD,GIRL,2009,517,520,521
NLD,GIRL,2012,517.738,520.415,524.761
NLD,GIRL,2015,511,507,515
NLD,GIRL,2018,519,508,499
NZL,BOY,2006,527,528,502
NZL,BOY,2009,523,529,499
NZL,BOY,2012,507.112,517.875,495.365
NZL,BOY,2015,499,516,493
NZL,BOY,2018,499,509,491
NZL,GIRL,2006,517,532,539
NZL,GIRL,2009,515,535,544
NZL,GIRL,2012,492.057,513.297,529.765
NZL,GIRL,2015,491,511,526
NZL,GIRL,2018,490,508,520
NOR,BOY,2006,493,484,462
NOR,BOY,2009,500,498,480
NOR,BOY,2012,490.399,492.792,481.284
NOR,BOY,2015,501,500,494
NOR,BOY,2018,497,485,476
NOR,GIRL,2006,487,489,508
NOR,GIRL,2009,495,502,527
NOR,GIRL,2012,488.293,496.346,527.771
NOR,GIRL,2015,503,497,533
NOR,GIRL,2018,505,496,523
POL,BOY,2006,500,500,487
POL,BOY,2009,497,505,476
POL,BOY,2012,519.564,524.421,496.706
POL,BOY,2015,510,504,491
POL,BOY,2018,516,511,495
POL,GIRL,2006,491,496,528
POL,GIRL,2009,493,511,525
POL,GIRL,2012,515.533,527.149,538.687
POL,GIRL,2015,499,498,521
POL,GIRL,2018,515,511,528
PRT,BOY,2006,474,477,455
PRT,BOY,2009,493,491,470
PRT,BOY,2012,492.703,488.346,468.39
PRT,BOY,2015,497,506,490
PRT,BOY,2018,497,494,480
PRT,GIRL,2006,459,472,488
PRT,GIRL,2009,481,495,508
PRT,GIRL,2012,481.296,490.224,507.562
PRT,GIRL,2015,487,496,507
PRT,GIRL,2018,488,489,504
SVK,BOY,2006,499,491,446
SVK,BOY,2009,498,490,452
SVK,BOY,2012,486.134,474.658,444.081
SVK,BOY,2015,478,460,435
SVK,BOY,2018,488,461,441
SVK,GIRL,2006,485,485,488
SVK,GIRL,2009,495,491,503
SVK,GIRL,2012,476.712,467.385,483.303
SVK,GIRL,2015,472,461,471
SVK,GIRL,2018,484,467,475
ESP,BOY,2006,484,491,443
ESP,BOY,2009,493,492,467
ESP,BOY,2012,492.422,500.119,473.806
ESP,BOY,2015,494,496,485
ESP,GIRL,2006,476,486,479
ESP,GIRL,2009,474,485,496
ESP,GIRL,2012,475.965,492.658,502.511
ESP,GIRL,2015,478,489,506
SWE,BOY,2006,505,504,488
SWE,BOY,2009,493,493,475
SWE,BOY,2012,476.916,481.151,457.991
SWE,BOY,2015,493,491,481
SWE,BOY,2018,502,496,489
SWE,GIRL,2006,500,503,528
SWE,GIRL,2009,495,497,521
SWE,GIRL,2012,479.629,488.513,509.135
SWE,GIRL,2015,495,496,520
SWE,GIRL,2018,503,503,523
CHE,BOY,2006,536,514,484
CHE,BOY,2009,544,520,481
CHE,BOY,2012,537.369,518.255,491.074
CHE,BOY,2015,527,508,480
CHE,BOY,2018,519,495,469
CHE,GIRL,2006,523,509,515
CHE,GIRL,2009,524,512,520
CHE,GIRL,2012,524.473,512.331,527.064
CHE,GIRL,2015,515,502,505
CHE,GIRL,2018,512,495,500
TUR,BOY,2006,427,418,427
TUR,BOY,2009,451,448,443
TUR,BOY,2012,451.934,458.316,452.843
TUR,BOY,2015,423,422,414
TUR,BOY,2018,456,465,453
TUR,GIRL,2006,421,430,471
TUR,GIRL,2009,440,460,486
TUR,GIRL,2012,443.948,468.622,498.64
TUR,GIRL,2015,418,429,442
TUR,GIRL,2018,451,472,478
GBR,BOY,2006,504,520,480
GBR,BOY,2009,503,519,481
GBR,BOY,2012,500.295,520.622,486.631
GBR,BOY,2015,498,510,487
GBR,BOY,2018,508,506,494
GBR,GIRL,2006,487,510,510
GBR,GIRL,2009,482,509,507
GBR,GIRL,2012,487.815,507.883,511.534
GBR,GIRL,2015,487,509,509
GBR,GIRL,2018,496,503,514
USA,BOY,2009,497,509,488
USA,BOY,2012,483.647,496.529,482.498
USA,BOY,2015,474,500,487
USA,BOY,2018,482,503,494
USA,GIRL,2009,477,495,513
USA,GIRL,2012,478.995,498.325,513.269
USA,GIRL,2015,465,493,507
USA,GIRL,2018,474,502,517
BRA,BOY,2006,380,395,376
BRA,BOY,2009,394,407,397
BRA,BOY,2012,400.769,405.541,394.184
BRA,BOY,2015,385,403,395
BRA,BOY,2018,388,403,400
BRA,GIRL,2006,361,386,408
BRA,GIRL,2009,379,404,425
BRA,GIRL,2012,382.925,403.949,424.734
BRA,GIRL,2015,370,399,419
BRA,GIRL,2018,379,404,426
CHL,BOY,2006,424,448,434
CHL,BOY,2009,431,452,439
CHL,BOY,2012,435.525,448.441,429.696
CHL,BOY,2015,432,454,453
CHL,BOY,2018,421,445,442
CHL,GIRL,2006,396,426,451
CHL,GIRL,2009,410,443,461
CHL,GIRL,2012,410.543,441.645,452.371
CHL,GIRL,2015,413,440,465
CHL,GIRL,2018,414,442,462
EST,BOY,2006,515,530,478
EST,BOY,2009,516,527,480
EST,BOY,2012,523.214,540.177,494.319
EST,BOY,2015,522,536,505
EST,BOY,2018,528,528,508
EST,GIRL,2006,514,533,524
EST,GIRL,2009,508,528,524
EST,GIRL,2012,517.93,542.608,537.833
EST,GIRL,2015,517,533,533
EST,GIRL,2018,519,533,538
IDN,BOY,2006,399,399,384
IDN,BOY,2009,371,378,383
IDN,BOY,2012,377.376,380.409,382.254
IDN,BOY,2015,385,401,386
IDN,BOY,2018,374,393,358
IDN,GIRL,2006,382,387,402
IDN,GIRL,2009,372,387,420
IDN,GIRL,2012,372.785,383.459,410.408
IDN,GIRL,2015,387,405,409
IDN,GIRL,2018,383,399,383
ISR,BOY,2006,448,456,417
ISR,BOY,2009,451,453,452
ISR,BOY,2012,472.398,469.715,463.46
ISR,BOY,2015,474,469,467
ISR,BOY,2018,458,452,445
ISR,GIRL,2006,436,452,460
ISR,GIRL,2009,443,456,495
ISR,GIRL,2012,460.749,470.419,507.451
ISR,GIRL,2015,466,464,490
ISR,GIRL,2018,467,471,493
RUS,BOY,2009,469,477,437
